"Accession","Group ID"
"scer|YCL019W","OG7_0011767"
"scer|YCL020W","OG7_0011767"
"scer|YCL021W-A","OG7_0155826"
"scer|YCL024W","OG7_0000009"
"scer|YCL025C","OG7_0005294"
"scer|YCL026C-A","OG7_0015590"
"scer|YCL026C-B","OG7_0015590"
"scer|YCL027W","OG7_0012108"
"scer|YCL028W","OG7_0156243"
"scer|YCL029C","OG7_0002326"
"scer|YCL030C","OG7_0008670"
"scer|YCL031C","OG7_0008716"
"scer|YCL032W","OG7_0004569"
"scer|YCL033C","OG7_0003890"
"scer|YCL034W","OG7_0001949"
"scer|YCL035C","OG7_0002700"
"scer|YCL036W","OG7_0020046"
"scer|YCL037C","OG7_0005009"
"scer|YCL038C","OG7_0010582"
"scer|YCL039W","OG7_0006924"
"scer|YCL040W","OG7_0002467"
"scer|YCL042W","OG7_0156161"
"scer|YCL043C","OG7_0000478"
